LINE 401 : 2022-08-10 23:29:40,986 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 430 : 2022-08-10 23:29:41,247 [INFO    ] Save file of enrichment results: Job Id:1931184654912
LINE 1329: 2022-08-10 23:29:46,247 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\times.ttf', name='Times New Roman', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\segoeuiz.ttf', name='Segoe UI', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\mvboli.ttf', name='MV Boli', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\palab.ttf', name='Palatino Linotype', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.05
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\constanb.ttf', name='Constantia', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.05
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\YuGothR.ttc', name='Yu Gothic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\consolai.ttf', name='Consolas', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\trebucit.ttf', name='Trebuchet MS', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\simsun.ttc', name='SimSun', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\SitkaB.ttc', name='Sitka Small', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.05
LINE 1341: 2022-08-10 23:29:46,279 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\verdanai.ttf', name='Verdana', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
